experiment,dataset,model,cond_class,stratum,proxy,adopt_increases,df_increases,adopt_q1,adopt_q4,adopt_q4_minus_q1,df_q1,df_q4,df_q4_minus_q1
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S3,entropy_top_k,3,2,0.02564102564102564,0.16216216216216217,0.13652113652113654,0.10256410256410256,0.47058823529411764,0.3680241327300151
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S3,softmax_top1_prob,1,2,0.0,0.0,0.0,0.06666666666666667,0.21428571428571427,0.1476190476190476
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,1,1,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.2702702702702703,0.18421052631578946,-0.08605974395448082
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S4,entropy_top_k,2,3,0.02564102564102564,0.13157894736842105,0.10593792172739541,0.10256410256410256,0.3235294117647059,0.22096530920060334
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S4,softmax_top1_prob,2,1,0.06666666666666667,0.07142857142857142,0.004761904761904759,0.13333333333333333,0.14285714285714285,0.009523809523809518
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,1,0,0.02564102564102564,0.02631578947368421,0.0006747638326585689,0.2972972972972973,0.05263157894736842,-0.2446657183499289
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S5,entropy_top_k,3,3,0.0,0.07894736842105263,0.07894736842105263,0.07692307692307693,0.2903225806451613,0.21339950372208438
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S5,softmax_top1_prob,1,1,0.0,0.0,0.0,0.13333333333333333,0.07142857142857142,-0.06190476190476191
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,2,2,0.0,0.05263157894736842,0.05263157894736842,0.22857142857142856,0.16666666666666666,-0.06190476190476191
experiment_e5e_chartqa_full,ChartQA,gemma3-27b-it,a,S1,entropy_top_k,3,2,0.0,0.11267605633802817,0.11267605633802817,0.0,0.2,0.2
experiment_e5e_chartqa_full,ChartQA,gemma3-27b-it,a,S1,softmax_top1_prob,2,2,0.0,0.25806451612903225,0.25806451612903225,0.0,0.2571428571428571,0.2571428571428571
experiment_e5e_chartqa_full,ChartQA,gemma3-27b-it,a,S1,top1_minus_top2_margin,1,2,0.04316546762589928,0.029197080291970802,-0.01396838733392848,0.03821656050955414,0.10828025477707007,0.07006369426751594
experiment_e5e_chartqa_full,ChartQA,gemma3-27b-it,m,S1,entropy_top_k,2,2,0.0,0.07042253521126761,0.07042253521126761,0.006369426751592357,0.17105263157894737,0.16468320482735502
experiment_e5e_chartqa_full,ChartQA,gemma3-27b-it,m,S1,softmax_top1_prob,2,2,0.0,0.1935483870967742,0.1935483870967742,0.0,0.2,0.2
experiment_e5e_chartqa_full,ChartQA,gemma3-27b-it,m,S1,top1_minus_top2_margin,1,1,0.02877697841726619,0.029197080291970802,0.0004201018747046134,0.03870967741935484,0.09615384615384616,0.05744416873449132
experiment_e5e_chartqa_full,ChartQA,llava-next-interleaved-7b,a,S1,entropy_top_k,1,3,0.007575757575757576,0.02564102564102564,0.018065268065268064,0.03821656050955414,0.20168067226890757,0.16346411175935344
experiment_e5e_chartqa_full,ChartQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,2,2,0.0,0.1,0.1,0.02631578947368421,0.14634146341463414,0.12002567394094993
experiment_e5e_chartqa_full,ChartQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,2,2,0.006493506493506494,0.031007751937984496,0.024514245444478,0.0979020979020979,0.1118421052631579,0.013940007361059992
experiment_e5e_chartqa_full,ChartQA,llava-next-interleaved-7b,m,S1,entropy_top_k,0,3,0.015151515151515152,0.00641025641025641,-0.008741258741258742,0.01910828025477707,0.1794871794871795,0.16037889923240242
experiment_e5e_chartqa_full,ChartQA,llava-next-interleaved-7b,m,S1,softmax_top1_prob,2,2,0.02702702702702703,0.03333333333333333,0.006306306306306304,0.02631578947368421,0.07317073170731707,0.04685494223363286
experiment_e5e_chartqa_full,ChartQA,llava-next-interleaved-7b,m,S1,top1_minus_top2_margin,2,1,0.006493506493506494,0.015503875968992248,0.009010369475485754,0.08391608391608392,0.08609271523178808,0.0021766313157041556
experiment_e5e_chartqa_full,ChartQA,qwen2.5-vl-7b-instruct,a,S1,entropy_top_k,2,2,0.0,0.05970149253731343,0.05970149253731343,0.0,0.0979020979020979,0.0979020979020979
experiment_e5e_chartqa_full,ChartQA,qwen2.5-vl-7b-instruct,a,S1,softmax_top1_prob,2,2,0.0,0.14285714285714285,0.14285714285714285,0.0,0.1111111111111111,0.1111111111111111
experiment_e5e_chartqa_full,ChartQA,qwen2.5-vl-7b-instruct,a,S1,top1_minus_top2_margin,1,2,0.014388489208633094,0.021739130434782608,0.007350641226149514,0.019230769230769232,0.040268456375838924,0.02103768714506969
experiment_e5e_chartqa_full,ChartQA,qwen2.5-vl-7b-instruct,m,S1,entropy_top_k,2,2,0.0,0.04477611940298507,0.04477611940298507,0.0,0.07746478873239436,0.07746478873239436
experiment_e5e_chartqa_full,ChartQA,qwen2.5-vl-7b-instruct,m,S1,softmax_top1_prob,2,2,0.0,0.14285714285714285,0.14285714285714285,0.0,0.1111111111111111,0.1111111111111111
experiment_e5e_chartqa_full,ChartQA,qwen2.5-vl-7b-instruct,m,S1,top1_minus_top2_margin,1,1,0.014388489208633094,0.021739130434782608,0.007350641226149514,0.019230769230769232,0.040268456375838924,0.02103768714506969
experiment_e5e_tallyqa_full,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,3,3,0.0002428068471530897,0.04988689129658293,0.04964408444942984,0.002091612633340305,0.08985234055922087,0.08776072792588056
experiment_e5e_tallyqa_full,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,3,3,0.0002455795677799607,0.07172430589381393,0.07147872632603397,0.001904157410345922,0.12935692340290286,0.12745276599255695
experiment_e5e_tallyqa_full,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,3,3,0.01850739093858911,0.03574488921532623,0.01723749827673712,0.03190376569037657,0.061623770663318686,0.029720004972942117
experiment_e5e_tallyqa_full,TallyQA,llava-next-interleaved-7b,m,S1,entropy_top_k,3,3,0.0002428068471530897,0.02905107750922729,0.0288082706620742,0.001568709475005229,0.07518324607329843,0.0736145365982932
